id,a,o,f,ZT
1,吃福记羊棒骨烩面馆,天桥南北纬路路口东南角,2,2
2,烩面,特色,1,5
2,牛肉面,特色,1,5
2,羊棒骨,特色,1,5
2,卤羊头,特色,1,5
2,羊肉串,特色,1,5
2,各种小菜,特色,1,5
3,羊头,已经没有,0,7
3,羊脚,吃了点,2,7
4,,找到一家能尝尝的,1,5
5,我跟搭子吃,欢快,1,5
6,口味,重,0,5
6,脑瓜部分,臭烘烘的,0,5
6,我和搭子,沉迷扒羊头,1,5
7,羊头筋皮,好吃,1,5
7,烩面,好吃,1,5
7,烩面,咸,0,5
8,羊蹄,不太干净,0,5
8,羊蹄,有指甲什么的,0,5
8,吃羊蹄的朋友,放弃,0,5
9,棒骨锅,挺好吃,1,5
9,棒骨锅,性价比可以,1,5
9,棒骨锅,要确定新鲜,2,5
10,,惊艳,1,5
11,羊棒骨,特别的入味,1,5
11,羊棒骨,特别好吃,1,5
11,骨髓,精髓,1,5
11,吸管一吸,满满的满足感,1,5
11,吸管一吸,幸福感,1,5
12,其他河南菜,好吃,1,5
12,烧烤,好吃,1,5
12,下次,还会过来光顾,1,5
13,羔羊羊大骨棒,咸香,1,5
13,羔羊羊大骨棒,油香满口,1,5
14,凉菜拼盘,品种挺丰富,1,5
14,凉菜拼盘,味道不错,1,5
15,大碗精品烩面,清清淡淡,1,5
15,大碗精品烩面,越吃越有味,1,5
16,新店,门脸不大,2,2
16,招牌,喜气,1,2
17,小桌,不少,1,3
17,菜单,实在,1,3
17,产品,羊头羊蹄面条,2,3
18,福记麻辣羊头,网红打卡,1,5
18,福记麻辣羊头,心心念念,1,5
19,员工培训,没开门,0,4
20,火爆,确实,1,5
21,,有不少人在吃羊头,1,5
22,,拼桌,1,5
22,羊头,热气腾腾,1,5
22,羊头,香气扑鼻,1,5
23,,送羊蹄品尝,1,5
23,,羊肉串,1,5
24,,羊头羊蹄软烂入味,1,5
25,这家店,位于天桥,2,5
25,麻辣羊头,在北京最好吃,1,5
26,,排队,1,2
26,,大堂坐满,1,2
27,,排队等位,1,5
27,羊棒骨和麻辣羊头,每桌必点,1,5
28,糕羊棒骨骨髓,好吃,1,5
28,糕羊棒骨骨髓,非常香,1,5
28,糕羊棒骨骨髓,有营养,1,5
29,环境,干净整洁,1,3
29,上菜,非常快,1,3
30,羊蹄,不错,1,5
30,羊蹄,物美价廉,1,5
31,烩面,不错,1,5
32,搭配,一个卤蛋,1,5
32,搭配,两个鹌鹑蛋,1,5
32,搭配,两串卤豆皮,1,5
33,服务员大婶,不拿抹布,0,4
33,服务员大婶,拿桌上的纸巾擦,0,4
34,地上,食物残渣,0,3
34,大婶,看不见,0,3
35,打扫,一下,2,4
35,大婶,扫一下,2,4
36,挪桌子,只能自己,0,3
36,桌子,快贴上,0,3
37,表面的卫生,脏,0,3
37,后厨,可想,0,3
38,抽烟喝酒,又吵又呛,0,3
39,羊肉烩面,招牌,2,5
39,羊汤,重要,2,5
40,店,中规中矩,0,5
40,进店,第二次,0,5
41,羊棒骨,入味,1,5
41,整体味道,还不错,1,5
42,羊蹄,入口即化,1,5
43,环境,一般,0,3
43,卫生,那么回事儿,0,3
43,聚餐,不合适,0,3
44,口味,不那么正宗,0,5
44,羊蹄,烂,0,5
44,羊棒骨,基本没肉,0,5
44,羊棒骨,只能吸点骨髓,0,5
44,其他菜,一般,0,5
45,羊头,很一般,0,5
45,价钱,特贵,0,5
45,感觉,一般,0,5
46,服务员,不让坐四人桌,0,4
47,羽绒服,没地方放,0,3
48,骨髓,不新鲜,0,5
49,羊棒骨,骨髓香,1,5
50,羊肉串,香,1,5
51,烩面,满满当当,1,5
51,烩面,给加了豆皮,1,5
51,烩面,给加了卤蛋,1,5
52,发现,这家店铺,2,2
53,顾客,多,1,2
54,进店,几乎没有座位,0,3
54,等,有空位,1,3
55,套餐,88元,2,4
55,套餐,羔羊大棒骨,2,4
55,套餐,精致拉面,2,4
56,羊肉烩面,带劲儿,1,5
56,羊棒骨,超级香,1,5
56,羊棒骨,骨髓很多,1,5
56,羊棒骨,稍微有点咸,0,5
57,棒骨,有羊毛,0,5
57,服务员,换了,2,5
58,骨头,肉还可以挺多,1,5
59,骨头,僵尸骨头,0,5
59,骨头,都康了,0,5
60,下次,不来,0,7
60,打卡,慎重,0,7
61,味道,中规中矩,2,5
61,价格,要啥自行车,0,5
62,工作餐,可以,1,5
63,吃这家羊头,值得,1,2
64,羊头肉,软烂入味,1,5
64,羊头肉,不会很腻,1,5
64,羊头肉,稍微有些辣,0,5
65,羊棒骨,又嫩又入味,1,5
