id,a,o,f,ZT
1,凉皮,可以,1,5
1,肉夹馍,可以,1,5
1,豆角焖面,太甜,0,5
2,迷你肉夹馍,味道可以,1,5
2,先生家私房麻酱凉皮,味道可以,1,5
2,鱼豆腐土豆粉,味道可以,1,5
2,传统鲜椒凉皮,味道可以,1,5
2,老坛酸菜鸡丝米线,味道可以,1,5
3,凉皮,放紫衣甘蓝圆白菜和玉米,0,5
4,外卖,忘了装香菜,0,6
5,菜品,味道还不错,1,5
5,卫生,干净,1,5
5,环境,挺好的,1,5
5,购买,推荐,1,5
6,传统麻酱凉皮,我的最爱,1,5
6,传统麻酱凉皮,挺好次的,1,5
6,现烤酥皮肉夹馍,绝配,1,5
7,凉皮,味道不错,1,5
7,酱料,扑鼻的香味,1,5
7,味蕾,控制不住,1,5
8,藤椒鸡腿夹馍,好吃,1,5
9,外卖,干净卫生方便,1,6
9,外卖,口味也很好,1,6
9,外卖,对上班族友好,1,6
10,凉皮,甜酸辣,1,5
10,凉皮,喜欢这个口味,1,5
10,,烤冷面,2,5
11,凉皮先生,没有食品可用的标识,0,7
12,凉皮,不健康,0,7
12,凉皮,不环保,0,7
13,汤汁泡的纸盒,中毒,0,7
14,烤冷面,味道说不上好,0,5
15,烤冷面,料不是很足,0,5
16,快餐店,没什么可太多期待的,0,7
17,牛筋面,特别的筋道,1,5
17,牛筋面,料也给的很足,1,5
18,粽子,我喜欢吃,1,5
18,粽子,很不错,1,5
19,服务,态度好,1,4
19,服务,补送,1,4
20,味道,不错,1,5
20,新式的,好吃,1,5
21,外卖,包装完好,1,4
21,外卖,胶条未封好,0,4
21,服务,如何,2,4
22,烤冷面,不正宗,0,5
22,烤冷面,吃到的都是面,0,5
23,腊汁肉夹膜,肉薄,0,5
23,腊汁肉夹膜,有柿子椒,0,5
24,送货,及时,1,5
24,包装,精致,1,5
24,烤冷面,味道中规中矩,2,5
24,烤冷面,满意,1,5
24,凉面,味道,0,5
24,面条,本身,0,5
24,麻酱包,麻酱少,0,5
24,拌,浓郁香味,0,5
25,凉皮,精细,1,5
25,麻酱料包,整整齐齐,1,5
25,辣包,麻辣香,1,5
25,大众适口性,极好,1,5
25,烤面筋,不错,1,5
25,烤冷面,不错,1,5
26,味道,还不错,1,5
27,感觉,很干净,1,3
27,吃,想吃,2,3
28,店家,保持干净,1,3
28,食材,新鲜,1,3
29,凉皮,多放点黄瓜丝,2,5
30,清香的味道,更完美,1,5
31,胃口,少了一半,0,5
31,小吃,想吃,2,5
32,打包盒,很环保,1,6
33,配菜,量不小,1,5
34,调料,单独包装,1,6
34,调料,根据口味添加,2,6
35,土豆粉,味道还可以,1,5
35,土豆粉,不油腻,1,5
35,土豆粉,豆芽豆腐丝太多,0,5
35,土豆粉,有待改进,0,5
36,烤冷面,没有味道,0,5
36,烤冷面,不好吃,0,5
37,凉皮,非常好吃,1,5
37,凉皮,传统麻酱,1,5
37,凉皮,秘制,1,5
37,凉皮,酸辣,1,5
37,凉皮,都很好吃,1,5
38,卫生,好一些,1,3
39,麻将凉皮,好吃,1,5
40,,问麻将里面有什么,2,7
41,,封面只有花生,0,7
41,,画了个芝麻,1,7
42,烤冷面,很一般,0,5
42,烤冷面,没有凉皮那个给力,0,5
43,吃一份凉皮,就饱了,1,5
43,烤冷面,白点了,0,5
43,烤冷面,浪费,0,5
44,环境,更胜一筹,1,3
44,环境,干净卫生,1,3
45,量,还算可以,1,5
45,量,够一个女生吃饱的分量,1,5
46,组合,绝配,1,5
47,面筋,劲道,1,5
47,凉皮,爽滑,1,5
