id,a,o,f,ZT
1,店员,友好,1,4
1,店员,热情,1,4
2,店员,介绍,1,5
2,面,适合小朋友,1,5
3,送面,周到,1,4
4,服务,改进,1,4
5,后厨店员,火气太大,0,4
6,后厨店员,坚持说是热的,0,4
7,店员,不让看,0,4
7,店员,不让等,0,4
8,后厨大哥,骂我们,0,4
9,素小面,18块钱,2,1
9,素小面,算凑合,1,1
10,素小面,啥也没有,0,5
10,素小面,智商上的碾压和欺骗,0,5
11,素小面,清水煮挂面,0,5
11,素小面,含泪赚我18块钱,0,5
12,土豆,跟图片差距太大,0,5
12,炸土豆,酸苦,0,5
12,土豆,真心不推荐,0,5
13,土豆,不如肯德基麦当劳实惠好吃,0,5
14,老板态度,特别差,0,4
14,老板,看顾客就跟看贼似的,0,4
15,环境,避雨,2,3
16,素小面,真的素,0,5
17,素小面,味道还不错,1,5
18,小酥肉,酥酥脆脆,1,5
19,小油条,好吃,1,5
20,这家店,靠北边,2,2
21,碗,不大,0,5
21,碗,老大一碗,1,5
21,碗,根本吃不完,0,5
22,老麻抄手,重辣,1,5
22,辣子,好吃到停不下来,1,5
23,鲜肉大馅馄饨,超级喜欢,1,5
23,鲜肉大馅馄饨,推荐,1,5
23,鲜肉大馅馄饨,22元一碗,2,5
24,走错路,来到嗨饭街,2,2
25,小面,16块钱一碗,2,5
25,小面,get到精髓,1,5
26,小面,极其简单,1,5
26,小面,简单到没啥可说的,0,5
27,上菜,不按顺序,0,4
27,等待时间,20分钟,0,4
28,服务,询问已点餐,0,4
28,服务,知道自己出错,0,4
29,碗杂面,还行,2,5
30,碗杂面,汤太多,0,5
30,碗杂面,不好,0,5
31,服务,把水倒掉,2,4
31,味道,没有,0,4
32,自己加醋和辣椒,不得不,0,5
32,味道,没有麻,0,5
33,highfun街,店铺最火,1,3
33,桌椅,尽可能收拾干净,1,3
34,干拌碗杂,没辣椒油,1,5
34,干拌碗杂,清爽,1,5
34,豌豆,软软糯糯,1,5
34,干拌碗杂,口感绝,1,5
35,牛肉酸辣粉,牛肉块不少,1,5
35,牛肉酸辣粉,很实在,1,5
35,豆芽,新鲜,1,5
35,豌豆,酥酥脆脆,1,5
35,牛肉酸辣粉,确实不错,1,5
36,小铺面环境,一般,0,3
36,高峰时人,有点多,0,3
36,味道,被大家认可,1,3
37,粉面,不怎样,0,5
37,粉面,太难吃,0,5
37,粉面,份量还特别小,0,5
38,面,比较少,0,1
38,两份,才能吃饱,0,1
39,重庆小面,青菜量可以,1,5
40,汤,清淡,1,1
40,北冰洋,5块钱,2,1
41,重庆小面,不是我想要的,0,5
41,重庆小面,没有一点点的重庆味道,0,5
41,重庆小面,不麻不香,0,5
41,重庆小面,漂一层厚厚的油,0,5
42,重庆小面,味道不行,0,5
42,重庆小面,没什么特别的,0,5
43,油泼面,比这好吃,1,5
44,上餐,半个多小时了都没上餐,0,4
44,上餐,催了三次,0,4
45,上餐,这么难,0,4
45,上餐,最后只好退餐了,0,4
46,重庆小面套餐,点评团购,2,1
46,猪肉小酥肉,15元,2,1
47,小面,不够辣,0,5
47,小面,不够香,0,5
48,重庆小面,最难吃,0,5
49,酥肉,一般,0,5
49,美好酥肉,差不到哪儿去,2,5
50,豌杂面,味道还可以,1,5
50,豌豆,没有很耙,0,5
50,面条,软硬合适,1,5
51,,人比较多,0,4
51,上菜流程,乱,0,4
52,菜单,有了食欲,1,5
53,冰粉儿,晶莹透亮,1,5
