id,a,o,f,ZT
1,饭馆,不大,0,2
1,包间,都在这里,2,2
2,屋子,狭小,0,3
2,围桌坐下,不能出入,0,3
3,装修,普通,0,3
3,装修,九十年代家庭装修风格,0,3
4,大多数菜,太咸,0,5
4,炸丸子,太咸,0,5
5,腔骨,样子不错,1,5
5,腔骨,味道一般,0,5
5,腔骨,没有醇香,0,5
6,这家店,没踩雷,1,5
7,酸辣鸡胗,好过瘾,1,5
7,酸辣鸡胗,粒粒香,1,5
7,酸辣鸡胗,太下饭,1,5
8,擂椒皮蛋,不太推荐,0,5
8,擂椒皮蛋,比较咸,0,5
8,擂椒皮蛋,掩盖了青椒和皮蛋混合的怪味,0,5
9,饺子,跟东北人合作,2,5
10,这家店,不起眼,0,2
10,这家店,偏向旅游,2,2
11,旅游,一锤子买卖,0,7
11,旅游,欺诈,0,7
12,饺子,味道确实不错,1,5
13,饺子数量,不够,0,4
13,服务员,果断处理,1,4
14,应答水平,高,1,4
14,问题,不是第一次出现,0,4
15,问题,为何不第一时间告诉客人,0,4
15,问题,让客人主动问你,0,4
16,五花三层五花肉,一点也不腻,1,5
16,炖,到火候,1,5
16,肥肠腊八蒜,解腻顺口,1,5
16,量,足,1,5
16,酱汁,味道淡,1,5
16,天桥附近美食,多,1,5
16,价格,不高,1,5
16,消费,大众,1,5
17,环境,还可以,1,3
17,环境,干净利索整洁,1,3
18,服务,基本上没有什么服务,0,4
18,服务,缺少热情,0,4
19,炒花蛤,很好吃,1,5
19,豉椒武昌鱼,口感不错,1,5
20,松仁玉米,甜口味,1,5
20,松仁玉米,还行,1,5
21,小饭店,四合院风格内部,2,3
21,屋子,五脏俱全,1,3
21,屋子,应有尽有,1,3
22,菜品,新鲜,1,5
22,菜品,无可挑剔,1,5
22,味道,不比五星级饭店差,1,5
23,口味,不错,1,5
23,味道,确实不错,1,5
24,服务,特别好,1,4
24,服务,特别热情,1,4
25,停车,特别方便,1,2
25,停车,免费,1,2
26,环境,整洁清净,1,3
26,小院子,招北京人喜欢,1,3
27,服务,热情,1,4
27,服务,有求必应,1,4
27,服务,有问必答,1,4
28,家常菜,75分,1,5
29,馅饼,绝不亚于砂锅居,1,5
29,馅饼,一次点了五份,1,5
30,湘土菜馆,有铜锅涮肉,1,5
31,肉,质量,1,5
31,肉,分量,1,5
32,麻酱小料,难吃,0,5
32,麻酱小料,建议商家学习,2,5
33,小料,不行,0,5
33,涮羊肉,体验,1,5
34,口味,和我在家乡吃的一样,1,5
34,环境,干净,1,5
34,服务,棒,1,5
34,体验感,极好,1,5
34,满意,非常,1,5
35,猪肉大葱水饺,量大,1,5
35,猪肉大葱水饺,好吃实惠,1,5
36,手工饺子,量大好吃实惠,1,5
36,手工饺子,推荐,1,5
37,品类,很多,1,5
38,店内,很多人抽烟,0,3
38,禁止吸烟,没人管,0,3
39,地理位置,比较近,1,2
40,乡土风情,温暖,1,3
41,酸辣汤,给身体脉动,1,5
41,酸辣汤,棒棒哒,1,5
41,酸辣汤,吃完暖和,1,5
41,酸辣汤,满足,1,5
42,湘菜,最好吃,1,4
42,湘菜,上菜快,1,4
42,湘菜,服务态度好,1,4
42,湘菜,菜量大,1,4
42,湘菜,正宗,1,4
42,湘菜,地道,1,4
43,菜品,量大,1,5
43,菜品,非常足,1,5
43,菜品,味道也很好,1,5
44,环境,非常好,1,3
44,包间格调,优雅舒适,1,3
44,包间格调,喜欢,1,3
45,服务员,贴心周到,1,4
46,,店家上首推的那几道菜,1,5
46,,特色菜,1,5
47,,停不下口,1,5
47,,种草,1,5
47,,还要去恰,1,5
48,上菜,快,1,5
48,服务,周到,1,5
48,附近,最好吃,1,5
48,盖浇饭,好吃,1,5
48,饺子,好吃,1,5
49,就餐环境,差,0,3
49,抽烟行为,影响体验,0,3
50,菜品,口味很好,1,5
50,服务,态度不错,1,5
50,餐厅,环境优美,1,5
50,用餐体验,极佳,1,5
51,菜品,很好,1,5
51,菜品,量大,1,5
51,菜品,味道非常好,1,5
51,推荐,来吃,1,5
51,评价,5星,1,5
52,蓝莓山药,比杯子大,1,3
52,拆骨肉,好吃,1,3
52,环境,整洁,1,3
53,湘菜,味道很好,1,5
53,菜量,很大,1,5
53,湘菜,味道好,1,5
53,湘菜,实惠,1,5
54,菜品,好吃,1,5
54,环境,干净卫生,1,5
54,服务,特别好,1,5
55,口味,不错,1,2
55,环境,优美,1,2
55,交通,便利,1,2
55,位置,好找,1,2
56,味道,不错,1,5
56,分量,很足,1,5
56,馆子,推荐,1,5
57,环境,舒适,1,4
57,菜品,可口,1,4
57,要求,满足,1,4
57,厨师,做了,1,4
57,满意度,非常满意,1,4
58,菜品,很好吃,1,5
58,上菜速度,很快,1,5
58,服务态度,很好,1,5
59,菜,很好吃,1,5
59,菜,分量也很足,1,5
59,服务态度,很好,1,5
60,口味,好,1,5
60,环境,不错,1,5
60,服务态度,不错,1,5
61,服务,很好,1,4
61,菜品口味,合适,1,4
61,菜品,很香,1,4
61,环境,惬意,1,4
62,,看完诊之后,2,2
62,,找餐厅,2,2
62,,突然发现一家,2,2
63,菜,可以吃很饱,1,5
64,宝藏小店,菜量大,1,5
64,宝藏小店,味道香,1,5
64,宝藏小店,经济实惠,1,5
64,宝藏小店,服务到位,1,5
65,菜品,口味很好,1,5
65,菜品,量很大,1,5
65,环境,干净,1,5
65,服务员,很到位,1,5
65,位置,挺好找,1,5
65,推荐,,1,5
66,菜品,口味不错,1,5
66,服务,细致,1,5
66,店面,很好找,1,5
66,店面,就在路边,2,5
67,菜馆,地方很好找,1,5
67,菜品,上得很快,1,5
67,菜品,味道很不错,1,5
68,调料,味道纯正,1,5
68,鲜切羊肉,口感味道很好,1,5
69,菜品,味道很好,1,3
69,服务,态度很好,1,3
69,环境,干净,1,3
69,服务,态度很好,1,3
69,环境,干净,1,3
69,环境,干净,1,3
70,环境,独特,1,3
70,吃涮羊肉,有一种穿越的感觉,1,3
71,饭店,四合院里头,2,2
71,炒菜,硬菜,1,2
72,东北菜,很不错,1,5
72,东北菜,意外,1,5
73,鱼杂,味道不错,1,5
73,臭豆腐,味道不错,1,5
73,小炒,味道不错,1,5
73,饺子,美味,1,5
74,体验,差,0,4
74,辣椒炒拆骨肉荷包蛋,还不错,1,4
74,酸菜饺子,还行,1,4
75,饺子,凉的,0,5
75,酸辣鸭珍,看不到鸭珍,0,5
75,酸辣鸭珍,都是辣椒和酸萝卜,0,5
76,湘土风情天桥店,味道不错,1,5
76,湘土风情天桥店,服务也很好,1,5
76,服务员大姐,热情,1,5
76,赠送菜品,感动,1,5
77,萝卜干炒腊肉,腊肉很筋道,1,5
77,萝卜干炒腊肉,烟熏味道恰到好处,1,5
78,环境,大致还行,2,3
78,环境,细节不到位,0,3
78,桌子,黏黏的东西,0,3
78,桌子,没擦干净,0,3
79,室内,有人吸烟,0,3
79,空气,不流通,0,3
79,室内,很呛,0,3
80,打包,特意询问,1,4
80,服务员,询问,1,4
80,一次性盒,免费,1,4
80,餐盒,收费,0,4
81,烟笋炒腊肉,腊肉很嫩,1,5
81,烟笋炒腊肉,腊肉很香,1,5
81,烟笋炒腊肉,不咸,1,5
82,环境,差,0,3
82,吸烟,自由,0,3
82,服务员,聊闲篇,0,3
82,可能是,家庭作坊,0,3
83,一站式美食体验,湘菜,1,5
83,一站式美食体验,火锅,1,5
83,一站式美食体验,烧烤,1,5
83,一站式美食体验,水饺,1,5
83,一站式美食体验,东北菜,1,5
83,一站式美食体验,川菜,1,5
83,一站式美食体验,馅饼,1,5
