id,a,o,f,ZT
1,服务,自己可以自助调料,1,4
1,服务,比外卖好,1,4
1,调料品种,不少,1,4
1,佐料,比较爱吃,1,4
1,自助点餐,挑选多了,1,4
1,肉,新鲜,1,4
1,菜系,新鲜,1,4
1,菜品,再多点就更好了,0,4
2,门店环境,整洁舒适,1,3
2,桌椅,干净整齐,1,3
3,店内装饰,简约大方,1,3
3,色彩搭配,亮眼,1,3
4,服务态度,令人满意,1,4
4,店员,热情友好,1,4
4,店员,笑容满面,1,4
4,店员,快速反应,1,4
4,店员,耐心解答,1,4
5,食材处理,熟练,1,4
5,食材,煮熟,1,4
5,口感,最佳,1,4
6,藕片,新鲜可口,1,5
6,撒尿牛丸,新鲜可口,1,5
6,豆皮,新鲜可口,1,5
6,冬瓜,新鲜可口,1,5
6,丝瓜,新鲜可口,1,5
7,藕片,鲜嫩多汁,1,5
7,撒尿牛丸,口感弹嫩,1,5
7,豆皮,口感滑嫩,1,5
7,豆皮,吸收麻辣汤味道,1,5
7,冬瓜,清爽可口,1,5
7,丝瓜,清爽可口,1,5
7,冬瓜丝瓜,开胃,1,5
8,麻辣味,浓郁,1,5
8,回味,无穷,1,5
9,门店环境,令人满意,1,5
9,服务态度,令人满意,1,5
9,产品体验,绝妙,1,5
10,单独享用,绝佳选择,1,5
10,和朋友分享,绝佳选择,1,5
11,小料种类,不多,0,5
11,小料,很友好,1,5
12,菜品,最全,1,5
13,蔬菜品种,比较全,1,5
13,肉类和蛋类,比较全,1,5
14,蛋类,齐全,1,5
15,小料,有辣的,1,5
15,小料,有不辣的,1,5
15,孩子,能跟着一起吃,1,5
16,鹌鹑蛋,奇怪的味道,0,5
16,鹌鹑蛋,像药水味,0,5
17,大叶生菜,水不是很多,0,5
17,大叶生菜,鲜,1,5
17,苦菊,水不是很多,0,5
17,苦菊,鲜,1,5
17,小油菜,水不是很多,0,5
17,小油菜,鲜,1,5
18,张亮麻辣烫,垃圾店,0,7
18,微辣,直接出的原汤,0,7
18,微辣,淋点辣椒油,0,7
18,张亮麻辣烫,头一次这样,0,7
18,张亮麻辣烫,下次再也不来了,0,7
18,上菜,上错,0,7
18,花费,花60结果给我上了30块钱的,0,7
18,服务,还说我自己拿错,0,7
19,服务人员,把顾客当上帝,1,4
20,服务员,免费给我重做,1,4
21,服务,热情周到有求必应,1,4
22,汤底,多种,1,5
23,味道,还可以,1,5
24,晚上营业时间,非常方便,1,2
25,元气满满套餐主食,给的挺多,1,5
25,元气满满套餐主食,最后没吃完,0,5
26,麻辣烫锅底,好吃,1,5
27,,只有辣和不辣的区别,0,5
28,店名,磁器口店,2,2
29,这家店,还不错,1,7
30,他家的麻辣烫,喜欢吃,1,5
31,环境,稍稍有点差,0,3
32,体验感,不太好,0,7
33,回炉重做,能,2,7
34,怎么又煮的,不知道,2,7
35,不会再来了,实在没有东西吃了,0,7
36,收银,非告诉我,0,2
36,收银,磁器口店,0,2
37,,不知道吃啥,2,5
37,麻辣烫,看到,2,5
38,过去吃,想,2,7
38,太热,觉得,0,7
39,辣椒,不太一样,0,5
39,辣椒,和洋桥那边的,0,5
40,门面,不大,0,2
40,,很容易就忽略过去,0,2
41,麻辣烫,最合适不过,1,5
42,上餐,速度快,1,4
43,菜品种类,齐全,1,5
43,,这么齐,1,5
44,小料种类,多一些,1,5
44,小料,干净,1,5
45,蔬菜+煎蛋或鹌鹑蛋,高蛋白,1,5
45,蔬菜+煎蛋或鹌鹑蛋,高纤维,1,5
45,蔬菜+煎蛋或鹌鹑蛋,低脂,1,5
45,蔬菜+煎蛋或鹌鹑蛋,低碳水,1,5
46,外卖,不合口味,0,5
47,味道,比较怪,0,5
47,四川人,不太能接受,0,5
48,味道,完全跟不上,0,5
49,,不贵,1,5
49,喜欢吃辣的朋友,不推荐,0,5
50,公司附近,有一家麻辣烫,2,2
51,元气满满套餐,有4荤6素2主食,1,5
52,元气满满套餐,有撒尿肉丸,1,5
52,元气满满套餐,有鱼豆腐,1,5
52,元气满满套餐,有培根,1,5
52,元气满满套餐,有鸭血,1,5
52,元气满满套餐,有金针菇,1,5
53,元气满满套餐,可以搭配秘制香辣酱,1,5
53,元气满满套餐,可以搭配劲麻藤椒酱,1,5
54,麻辣拌,没有麻辣烫好吃,0,5
55,麻辣拌,现成的,0,5
55,调料,不适应,0,5
55,调料,不是自己调的味道,0,5
56,感觉,差很多,0,5
56,东西,种类比较多,1,5
57,酱,不好吃,0,5
57,剩下一半,没有吃完,0,5
58,食材,一般,0,5
58,下次,吃麻辣烫,2,5
59,口味,最好,1,5
59,麻辣烫,最好,1,5
60,各种蔬菜,推荐,1,5
60,蔬菜麻辣烫,比其他肉丸类更好吃,1,5
61,菜品,丰富,1,5
61,培根,有,2,5
61,丸子,有,2,5
61,蔬菜,有,2,5
61,宽粉,有,2,5
62,自选小料,丰富,1,5
62,麻酱,有,2,5
62,调味料,有,2,5
63,黄豆,好吃,1,5
63,麻辣烫,好吃,1,5
64,吃,一口一口,2,5
64,汤,喝掉,2,5
65,口味儿,品质合一,1,5
66,收费,实惠,1,4
66,服务,上菜快,1,4
66,味道,差不了,1,4
67,油条,煮成面快,0,5
68,张亮麻辣烫,开在街边,2,2
68,外卖,以前总是点,2,2
68,,去店里尝尝,2,2
69,味道,还不错,1,5
69,麻辣烫,喜欢吃,1,5
69,外卖距离,近,1,5
70,点,好几次,1,5
70,味道,一如既往的好,1,5
71,这家麻辣烫店,位于磁器口地铁站西南角附近,2,2
72,小油条,点,2,5
72,鹌鹑蛋,点,2,5
72,牛肉棒,点,2,5
72,几种蔬菜,点,2,5
73,,尝尝其他美味食物,2,5
74,麻酱,一应俱全,1,5
74,韭菜花,一应俱全,1,5
74,腐乳,一应俱全,1,5
74,蚝油,一应俱全,1,5
74,麻油,一应俱全,1,5
74,香菜,一应俱全,1,5
74,蒜泥,一应俱全,1,5
74,葱花,一应俱全,1,5
74,陈醋,一应俱全,1,5
75,山药土豆,煮的时间有点短,0,5
75,山药土豆,口感有点硬,0,5
76,各种粉条种类,选择很多,1,5
76,豆制品,选择很多,1,5
77,菜品,新鲜,1,5
78,调料品,喜欢,1,5
78,麻油,喜欢,1,5
78,服务,不错,1,5
78,菜品,一直上新,1,5
79,店面装修,亮堂,1,3
79,环境,不错,1,3
80,服务,没什么,0,4
80,店员,忙着接外卖单,0,4
80,查验健康宝,没人,0,4
80,疫情隐患,存在,0,4
81,菜品,丰富,1,5
81,新鲜度,ok,1,5
82,味道,挺好,1,5
83,餐厅环境,真不错,1,3
83,餐厅环境,亮亮堂堂,1,3
83,进门,感觉痛快,1,3
84,小料台,大一些,1,5
84,自助调蘸料,人性化,1,5
85,麻酱,好吃,1,5
85,香油,好吃,1,5
85,炸豌豆,YYDS,1,5
