id,a,o,f,ZT
1,余老三酱肉,浓郁的肉香,1,3
2,肉,塑封冷藏,2,1
2,肉,价格不等,2,1
3,老板,热情,1,4
3,老板,给了名片,1,4
4,酱肉,家里味道,1,5
5,酱肉,区别于品牌店熟食,1,5
6,酱肉,口感细腻,1,5
6,酱肉,恰到好处的调味料,1,5
6,酱肉,入味儿,1,5
6,酱肉,香而不腻,1,5
7,这家店,10点左右才开始卖,2,2
8,味道,家里炖肉的味道,1,5
8,口味,偏咸,0,5
9,肘子和猪蹄子,没有怪味儿,1,5
9,肘子和猪蹄子,比较欢迎,1,5
10,酱肉「猪头肉」,非常不错的选择,1,5
11,这里东西,吃着放心,1,1
11,性价比,挺高,1,1
12,「老北京咸菜」,小时候的味道,1,5
13,熟食凉菜烧饼肉饼,不咸,1,5
14,肘子肉,软烂,1,5
14,瘦肉部分,不会觉得柴,1,5
14,肥的部分,不腻,1,5
15,大肘子,吃完了,1,5
15,孩子,喜欢,1,5
16,与天福号稻香村对比,不在一个档次,1,5
17,老板,热情地打招呼,1,4
18,菜单,没什么,0,1
19,老板,给名片,1,4
19,老板,叮嘱,1,4
20,肘子,不咸不腻,1,5
20,猪皮,保持弹牙,1,5
21,出锅数量,有限,0,1
22,味道,有惊喜,1,5
22,味道,好吃,1,5
23,炖肉,香气扑鼻,1,5
24,大锅,炖着,2,5
25,猪蹄,入味肉烂,1,5
25,猪蹄,价格适中,1,5
26,老板,和蔼可亲,1,4
26,老板,健谈,1,4
27,老板,正宗老北京旗人后裔,1,4
27,熟食制品,亲手制作,1,4
28,导航,能找到,1,2
29,老板,干净利落,1,4
30,猪头肉,好吃,1,5
31,老板家,干净,1,3
31,老板,健谈,1,3
31,酱肉,好吃,1,3
32,位置,准确,1,2
33,猪耳朵,酱香浓郁,1,5
33,猪耳朵,软糯鲜香,1,5
34,肉,好吃,1,5
35,老字号,藏身住家里,2,2
35,院子,狭窄,0,2
35,住户,敲门让到屋里,2,2
36,熟食,专卖,2,5
36,熟食种类,有肘子,2,5
36,熟食种类,有猪头肉,2,5
36,熟食种类,有猪蹄儿,2,5
36,熟食种类,有脊骨,2,5
37,猪头肉,很好吃,1,5
37,咸菜,很好吃,1,5
38,咸菜,切的粗放,2,5
38,咸菜,不咸,1,5
38,咸菜,可以下酒,2,5
