id,a,o,f,ZT
1,花市清真寺,不对外,0,3
1,花市清真寺,不知道里面是什么样子,2,3
2,花市清真寺,不对外开放,0,2
2,花市清真寺,西花市大街80号,2,2
3,清真寺,很有历史,1,7
3,建筑,很有特色,1,7
4,清真寺,具有宗教色彩,1,2
4,清真寺,就在花市大街80号,2,2
5,清真寺,比较大,1,3
5,清真寺,没法进去看看,0,3
6,清真寺,隐于闹市,2,2
7,门脸,很小,0,2
7,清真寺,进不去,0,2
8,窗户,精致,1,3
8,窗户,有假窗也有真窗,2,3
9,石刻,精美,1,3
9,窗户,别有一番风味,1,3
10,清真寺,历史的沉淀感不强,0,7
10,清真寺,体现了穆斯林的文化,1,7
11,门檐儿,不伦不类,0,3
12,门檐儿,新修,2,3
12,门檐儿,精美,1,3
12,门檐儿,缺了点原汁原味的感觉,0,3
13,寺址,有“常遇春一箭定寺基”的传说,2,7
14,胡大海,明开国回族将领,2,7
14,胡大海,将自家宅地捐为寺地,2,7
15,清真寺,1912年“中国回教俱进会”在此成立,2,7
16,清真寺,近代中国穆斯林爱国运动之发祥,2,7
17,东花市大街,穿行,2,2
17,“花市十景”浮雕,08年立起,2,2
18,清真寺,并不严禁非本教民众进院,2,5
19,清真寺,无法进院,0,5
20,商肆,有鸦儿李记涮肉,2,2
20,商肆,有老诚伊羊蝎子,2,2
21,清真寺,很难见到,0,2
22,绿色琉璃瓦屋顶,绚丽,1,2
23,花市大街,仔细寻找,0,2
24,院子,小得不能再小,0,2
24,大殿,坐西朝东,2,2
25,石碑,有名,1,7
25,石碑,有历史的印记,1,7
26,院子,不是特别大,0,3
26,院子,方方正正,1,3
26,院子,规规矩矩,1,3
27,清真寺,安安静静,1,3
27,清真寺,干干净净,1,3
27,清真寺,与世无争一样的清净,1,3
28,位置,特别容易找到,1,2
29,清真寺,可以参观,2,5
29,伊斯兰的信仰,尊重,2,5
30,清真寺,不让参观,0,5
30,清真寺,没有给出理由,0,5
31,服务员,第一时间冲前,2,4
32,花市清真寺,始建于1414年,2,7
32,,常遇春府邸,2,7
33,,中式清真寺,2,7
34,,清真木匾,2,7
35,,中国回教俱进会,2,7
36,花市清真寺,矗立好多年了,2,3
36,周围,从胡同变为高楼林立,2,3
36,花市清真寺,依然未变,2,3
37,穆斯林过节日或有活动,非常热闹,1,5
37,平时,不对外参观,2,5
38,清真寺,很有缘,1,2
38,清真寺,第二个,2,2
38,清真寺,离着崇文门不远,2,2
39,这附近,买吃的,2,2
39,发现,这个清真寺,2,2
40,建筑,高大上,1,3
40,建筑,有特点,1,3
41,门口,写着一些注意事项,2,4
41,衣冠不整者,不能进入,0,4
41,穿着短裤短裙者,不能进入,0,4
42,花市清真寺,矗立在花市大街好多好多年,2,3
43,花市清真寺,唯一没改变的存在,1,3
44,花市清真寺,最常来的地方,1,5
45,花市清真寺,随家人过来,2,5
46,,今天是开斋节,2,7
47,回族的传统节日,与伊斯兰教紧密相关,2,7
48,回族的传统节日,"主要有""开斋节""、""古尔邦节""和""圣纪节""",2,7
