ID,sentence,REP,UNQ,DIV,EMO,ZT
14,"还算可以,属于快餐,上菜速度快,有赠送咸菜。",0.3743,0.4696,0.3333,0.5,1
32,但是好像比大栅栏那个店要便宜一些。,0.1872,0.4696,0.1667,0.25,1
57,"驴火18一个,饭量小的一个就饱了。",0.3743,0.4696,0.3333,0.25,1
72,"真没想到他家生意居然这么好,中午过来居然爆满。",0.3743,0.4696,0.3333,0.5,1
81,"性价比不高,租金也贵,小咸菜还要收费。",0.5615,0.4696,0.5,0.3214285714285714,1
1,"带孩子去完医院直奔王胖子,每次路过都想冲进去。",0.1872,0.1806,0.1667,0.25,2
11,"天桥王胖子驴肉火烧店在北京不止一家,店面不大。",0.1872,0.3347,0.1667,0.0,2
16,"王胖子驴肉火烧天桥店在天坛公园1.5公里处,按照导航走很近。",0.1872,0.3612,0.1667,0.25,2
17,"因为天坛附近也没多少可吃的都是旅游团,大家懂得。",0.1872,0.1806,0.1667,0.10714285714285715,2
20,从医院出来路边找个地方吃饭一个人没有挺好。,0.1872,0.1806,0.1667,0.25,2
31,"点的老样子和以前一样的,门口好停车,上菜也很快的。",0.5615,0.1806,0.5,0.5,2
39,"回忆一幕幕就像拉洋片样,驴肉火烧起于民间兴于市井。",0.1872,0.1806,0.1667,0.0,2
52,"骑车路过发现这家店,在天桥剧场、德云社中间的小路往西不远路边的位置。",0.1872,0.1806,0.1667,0.0,2
58,照片里的盘干碗净是对店家最好的评价！,0.1872,0.1806,0.1667,0.25,2
67,"去的时候屋里坐满了人,正好去附近办事儿,就选择了这家王胖子连锁店。",0.1872,0.1806,0.1667,0.0,2
70,"经常到附近吃饭,平心而论这家餐厅一直没入我的法眼。",0.1872,0.1806,0.1667,0.10714285714285715,2
82,"“十一”与哥们儿小聚,本想去“老北京烧饼夹肘子”却发现歇业了。",0.1872,0.1806,0.1667,0.10714285714285715,2
89,"这家店在北纬路北侧,离天桥剧场很近,门口有公交车站。",0.1872,0.1806,0.1667,0.25,2
2,"店内不大,中午人很多,找了个角落坐下。",0.2139,0.4799,0.3333,0.0,3
18,"找到了这家,进店里人不多,上菜还是挺快的。",0.3743,0.5217,0.3333,0.5,3
23,环境太热了不开空调不开门简直了吃点赶紧撤了没有外面凉快。,0.4492,0.2609,0.6667,0.4285714285714286,3
24,单位附近的苍蝇馆环境很一般就是简单装修。,0.3743,0.2609,0.3333,0.2142857142857143,3
25,一般的木桌木凳收款台旁有饮水机可以自己接开水喝。,0.2496,0.2609,0.3333,0.35714285714285715,3
40,"王胖子驴肉火烧环境干净卫生,屋里客人不多。",0.1248,0.2609,0.3333,0.5,3
46,"环境比较卫生,门口的小洗手池很贴心。",0.2496,0.2609,0.3333,0.5,3
66,"要吃肉吃驴肉环境：店不大,但人气旺盛。",0.1872,0.5217,0.1667,0.25,3
83,"王胖子驴肉火烧小店面积不大,但干净整洁。",0.0624,0.5217,0.1667,0.25,3
26,上菜很快服务也算是有求必应吧但终归是街边店。,0.3743,0.2527,0.3333,0.5,4
47,"服务并没有因为我只点了一个普通驴火就区别对待,收桌子也很勤快麻利。",0.3743,0.2935,0.3333,0.35714285714285715,4
49,"我来消费的不是看你甩脸子的,把你那臭脸给我收起来。",0.0624,0.2495,0.1667,0.10714285714285715,4
50,"还有往那一坐腚都不想挪一下,喊都喊不来。",0.0624,0.2935,0.1667,0.10714285714285715,4
68,"服务铃服务：服务很好,可能是因为顾客太多了吧。",0.1872,0.2874,0.1667,0.25,4
76,"我觉得他家整体分值偏低不是饭菜味道的问题,扣分项主要在于服务和管理。",0.5615,0.2935,0.5,0.2142857142857143,4
77,"就我们点的菜来说居然给我们漏点了两道菜,邻桌的客人等了很久一直不上菜。",0.3743,0.2935,0.3333,0.2142857142857143,4
78,"环视一下餐厅内只有一个女服务员在忙前跑后,效率能高也是奇了怪了。",0.3743,0.2935,0.3333,0.2142857142857143,4
3,"点了四个普通驴火,饼热乎乎很酥脆,驴肉味道中规中矩。",0.3743,0.6957,0.3333,0.25,5
4,"必须配紫菜鸡蛋汤,里面还有一些炒菜。",0.1872,0.087,0.1667,0.25,5
5,"近期还会再来打卡「炝拌莴笋丝」看着清清淡淡,但味道十足,很好吃很入味,爽口。",0.4886,0.087,0.6667,1.0,5
6,"「精瘦驴肉火烧」分量挺足的,外皮酥脆有嚼头,肉质鲜美。",0.5955,1.0,0.6667,1.0,5
7,"「糖醋里脊」分量有点少,但料汁很到位！甜甜的好喜欢。",0.5615,0.0435,0.5,0.6071428571428572,5
8,"作为一个驴肉火烧重度爱好者,各个连锁的王胖子都吃过,但这家真的是心中的第一名。",0.1872,0.4783,0.1667,0.25,5
9,"驴肉卤的很好,汁水很足,完全不会有干巴巴的感觉。",0.1872,0.6957,0.1667,0.25,5
10,"小米粥的味道还是一如往常,浓浓的很好喝。",0.1872,0.0435,0.1667,0.25,5
12,这是要咸死谁吗？第一次吃到这么齁咸的驴肉。,0.1872,0.1304,0.1667,0.10714285714285715,5
13,"驴杂汤也巨咸,说明驴肉卤的时候盐放太多了。",0.262,0.087,0.3333,0.2142857142857143,5
15,"「炝拌莴笋丝」爽口,「蒜香驴肉」咸,味道还可以。",0.4617,0.1304,0.5,0.6071428571428572,5
