ID,sentence,REP,UNQ,DIV,EMO,ZT
24,"不过就是他家晚上有的店开到很晚,这个非常方便。",0.125,0.2381,0.1111,0.1111111111111111,2
28,"外卖的时候,这家店名字是磁器口店。",0.0417,0.2381,0.1111,0.0,2
36,"明明是东大街店,收银老太非告诉我是磁器口店。",0.1667,0.2381,0.2222,0.09523809523809523,2
40,"在磁器口路口往西的马路南侧,门面不大,很容易就忽略过去。",0.125,0.2381,0.2222,0.09523809523809523,2
50,"刚刚结束直播,正好公司附近就有一家麻辣烫。",0.125,0.2381,0.1111,0.0,2
68,"开在街边的一家张亮麻辣烫,以前总是点外卖,这次去店里尝尝。",0.25,0.2381,0.3333,0.0,2
71,这家麻辣烫店位于磁器口地铁站西南角附近。,0.125,0.2381,0.1111,0.0,2
2,"打卡#张亮麻辣烫！一家连锁店,他们的麻辣烫真的很赞！首先,门店环境非常整洁舒适,桌椅干净整齐,让人感觉很舒服。",0.25,0.6667,0.2222,0.2222222222222222,3
3,"店内装饰简约大方,色彩搭配亮眼,让人一进门就感觉愉悦。",0.25,0.3333,0.2222,0.2222222222222222,3
31,"我觉得不足的就是,环境稍稍有点差。",0.125,0.6667,0.1111,0.047619047619047616,3
79,"靠近磁器口新开的一家张亮麻辣烫,店面装修很亮堂,环境还是不错的。",0.0833,0.9903,0.2222,0.2222222222222222,3
83,"新开的张亮麻辣烫,餐厅环境真不错,亮亮堂堂的,进门就让人感觉痛快！",0.2083,1.0,0.3333,0.33333333333333326,3
1,"不知道吃什么的时候、时不时的就想这口,此店离家也近…服务:自己可以自助调料,咸了淡了的调适合自己口味的、觉得这比外卖好多了,而且调料品种也不少,所以自己调出来的佐料也比较爱吃…自助点餐每次一不小心都是挑选多了,满满一大碗,而且可以看出他家的肉、菜系也还是比较新鲜的,但是菜品再多点就更好了。",0.8333,0.1852,0.8889,0.8253968253968254,4
4,"店员的服务态度更是令人满意！他们热情友好,笑容满面,总是快速反应并耐心解答我的问题。",0.625,0.1852,0.5556,0.5555555555555556,4
5,"不论我选择了什么食材,他们都会帮我熟练地处理和煮熟,确保最佳口感。",0.375,0.1852,0.3333,0.33333333333333326,4
19,"本来没什么需要特别介绍的,但是这家店全店的服务人员简直真是把顾客当上帝了。",0.125,0.3704,0.1111,0.1111111111111111,4
20,"服务员说以为不吃了,然后立刻让我再重新挑食材,免费给我重做。",0.125,0.1852,0.1111,0.1111111111111111,4
21,对待每一位客人都热情周到有求必应。,0.125,0.1852,0.1111,0.1111111111111111,4
42,"这里人不算多,所以上餐的速度很快。",0.125,0.1852,0.1111,0.1111111111111111,4
66,"看着实惠,上菜应该也快,味道应该也差不了。",0.375,0.1852,0.3333,0.33333333333333326,4
80,"不过确实没什么服务,店员主要忙着接外卖单,甚至进店都没人查验健康宝,感觉存在疫情隐患。",0.5,0.3704,0.4444,0.19047619047619047,4
6,"产品体验方面,他们的藕片、撒尿牛丸、豆皮、冬瓜和丝瓜都非常新鲜可口。",0.0694,0.0585,0.5556,0.5555555555555556,5
7,"藕片鲜嫩多汁,撒尿牛丸口感弹嫩,豆皮口感滑嫩且吸收了麻辣汤的味道,冬瓜和丝瓜清爽可口,非常开胃。",0.5083,0.0585,0.7778,0.7777777777777779,5
8,"每一口都能感受到浓郁的麻辣味,让我回味无穷。",0.25,0.0585,0.2222,0.2222222222222222,5
9,"总之,张亮麻辣烫不仅有着令人满意的门店环境和服务态度,更有着绝妙的产品体验。",0.2083,0.0292,0.3333,0.33333333333333326,5
10,"无论是单独享用还是和朋友一起分享,都是绝佳的选择！强烈推荐给大家去挑战一哈。",0.0833,0.0292,0.2222,0.2222222222222222,5
11,"虽然种类不多,但是对我家的麻酱爱好者还是很友好的。",0.1667,0.0292,0.2222,0.15873015873015872,5
12,这是我遇到过菜品最全的张亮麻辣烫了。,0.0139,0.0292,0.1111,0.1111111111111111,5
13,"不仅是蔬菜的品种比较全,就连肉类和蛋类都比较全。",0.05,0.0877,0.2222,0.2222222222222222,5
14,"有鹌鹑蛋,有煎鸡蛋,有炸鸡蛋,还有煮鸡蛋。",0.0417,0.0292,0.1111,0.1111111111111111,5
15,"有辣的,有不辣的,孩子也能跟着一起吃。",0.375,0.0292,0.3333,0.33333333333333326,5
16,「鹌鹑蛋」有一种奇怪的味道特别像药水味。,0.25,0.0292,0.2222,0.09523809523809523,5
17,「大叶生菜」「苦菊」「小油菜」绿叶菜水不是很多也很鲜。,0.15,0.0292,0.6667,0.4761904761904762,5
22,"对了,现在有蕃茄、菌汤、冬阴功、原汤等多种汤底可以选择了。",0.125,0.0292,0.1111,0.1111111111111111,5
23,"味道基本上都差不错,味道还可以吧。",0.0417,0.0585,0.1111,0.1111111111111111,5
25,买的元气满满套餐主食给的挺多的最后没吃完。,0.1667,0.0292,0.2222,0.15873015873015872,5
26,之前我记得这家麻辣烫锅底挺好吃的。,0.0139,0.0585,0.1111,0.1111111111111111,5
27,现在张亮只有辣和不辣的区别了吗？,0.0,0.0292,0.1111,0.047619047619047616,5
30,"因为在老家就喜欢吃,他家的麻辣烫。",0.0179,0.0292,0.1111,0.1111111111111111,5
37,"中午下班不知道吃啥,网上搜了下看到麻辣烫了。",0.125,0.0585,0.2222,0.0,5
39,就是辣椒感觉和洋桥那边的不太一样。,0.25,0.0292,0.2222,0.09523809523809523,5
41,"一个人的晚餐,麻辣烫最合适不过了。",0.125,0.0585,0.1111,0.1111111111111111,5
43,"菜品种类也齐全,这大晚上的没想到也这么齐。",0.0417,0.0585,0.2222,0.2222222222222222,5
44,"小料的种类比一般的麻辣烫要多一些,而且还是很干净的。",0.25,0.0585,0.2222,0.2222222222222222,5
45,"每逢体重有波动,就吃两次,点蔬菜+煎蛋或鹌鹑蛋,高蛋白、高纤维、低脂、低碳水。",0.5,0.0292,0.4444,0.4444444444444444,5
46,"真的不知怎么评价,这么久了第一次吃这么不合口味的外卖。",0.125,0.0292,0.1111,0.047619047619047616,5
47,而且味道比较怪可能四川人不太能接受。,0.25,0.0286,0.2222,0.09523809523809523,5
48,"出差去北京好不容易吃个外卖,味道是完全跟不上。",0.125,0.0292,0.1111,0.047619047619047616,5
49,"虽然懂自己不贵,但是喜欢吃辣的朋友的话就不推荐看了。",0.125,0.0292,0.2222,0.15873015873015872,5
51,"点了一份元气满满套餐,里面有4荤6素2主食。",0.125,0.0292,0.1111,0.1111111111111111,5
52,有撒尿肉丸、鱼豆腐、培根、鸭血、金针菇。,0.625,0.0292,0.5556,0.5555555555555556,5
53,当然如果到店的话还可以随意搭配秘制香辣酱或者是劲麻藤椒酱。,0.25,0.0292,0.2222,0.2222222222222222,5
54,"外卖点的干拌的麻辣拌,但是我觉得没有麻辣烫好吃。",0.125,0.0292,0.1111,0.047619047619047616,5
55,"麻辣拌,居然是现成的。料包的调料不适应,并不是自己调的味道。",0.375,0.0292,0.3333,0.14285714285714285,5
56,"感觉差很多,虽然东西的种类比较多。",0.25,0.0292,0.2222,0.15873015873015872,5
57,"但可能是酱不好吃,所以都剩了一半没有吃完。",0.1667,0.0292,0.2222,0.09523809523809523,5
58,"食材也就一般吧,下次还是吃麻辣烫吧。",0.25,0.0292,0.2222,0.047619047619047616,5
59,"店里外卖都经常吃,嗯,口味是目前吃过最好的麻辣烫。",0.05,0.117,0.2222,0.2222222222222222,5
60,"推荐各种蔬菜,感觉蔬菜麻辣烫比其他肉丸类更好吃。",0.25,0.0585,0.2222,0.2222222222222222,5
61,"菜品丰富：有培根、各种丸子,还有很多蔬菜和宽粉。",0.1178,0.117,0.5556,0.1111111111111111,5
62,"自选小料也很丰富,有麻酱和各种调味料。",0.0382,0.0292,0.3333,0.1111111111111111,5
63,"还有我最喜欢吃的黄豆,加在麻辣烫里真的太好吃。",0.0278,0.0542,0.2222,0.2222222222222222,5
64,"拿着小碗一口一口吃,最后把汤喝掉。",0.25,0.0292,0.2222,0.0,5
65,他们家的口味儿一如既往的品质合一。,0.125,0.0292,0.1111,0.1111111111111111,5
67,我没见过任何一家麻辣烫能把油条煮成面快。,0.125,0.0292,0.1111,0.047619047619047616,5
69,"味道还不错,喜欢吃麻辣烫,外卖距离家里比较近的就是这家店了。",0.1845,0.137,0.3333,0.33333333333333326,5
70,"已经点了好几次了,味道一如既往的好。",0.25,0.0877,0.2222,0.2222222222222222,5
72,"点了小油条,鹌鹑蛋,牛肉棒,还有几种蔬菜。",0.0344,0.0877,0.4444,0.0,5
73,"等疫情过去了,找机会去店里尝尝其他美味食物。",0.0,0.0292,0.1111,0.0,5
74,麻酱韭菜花腐乳蚝油麻油香菜蒜泥葱花陈醋一应俱全。,0.0848,0.0292,1.0,1.0,5
75,"山药土豆煮的时间有点短,口感有点硬。",0.15,0.0292,0.2222,0.09523809523809523,5
76,这里的各种粉条种类还有豆制品选择很多。,0.0833,0.0585,0.2222,0.2222222222222222,5
77,"虽然很多连锁店都会报道一些不好的方面,但是这家的菜品还是很新鲜的。",0.125,0.0548,0.1111,0.1111111111111111,5
78,"特别喜欢他的调料品中的麻油,就是这次咸了点服务很不错,整体的菜品都是一直上新。",0.2024,0.0877,0.4444,0.4444444444444444,5
81,"店里的菜品还是比较丰富的,看起来新鲜度也ok。",0.125,0.0292,0.2222,0.2222222222222222,5
82,"作为一人食的麻辣烫,味道也是挺好的。",0.0417,0.117,0.1111,0.1111111111111111,5
84,"食品种类和其他张亮没什么区别,小料台要大一些,自助调蘸料非常人性化。",0.25,0.0292,0.2222,0.2222222222222222,5
85,"调了麻酱和香油两种,都好吃,炸豌豆YYDS！",0.1528,0.0292,0.3333,0.33333333333333326,5
18,"垃圾店,头一次吃这样的,要微辣的,就直接出的原汤直接给你淋点辣椒油,辣鸡辣鸡,吃了好几个地方张亮麻辣烫,头一次这样,下次再也不来了,上菜都能上错,花60结果给我上了30块钱的,还说我自己拿错,避雷避雷．",1.0,0.2381,0.8889,0.38095238095238093,7
29,"一直都是半夜点外卖,点的这家店,一开始觉得还不错。",0.125,0.2381,0.1111,0.1111111111111111,7
32,"就不知道啥原因了,所以体验感不太好。",0.125,0.2381,0.1111,0.047619047619047616,7
33,"碰见另一桌的说辣,吃了一大半了还能回炉重做。",0.125,0.2381,0.1111,0.0,7
34,"咱也不知道是怎么又煮的,是小锅还是大锅。",0.125,0.2381,0.1111,0.0,7
35,总之实在没有东西吃了就不会再来了。,0.125,0.2381,0.1111,0.047619047619047616,7
38,"本来想过去吃的,刚下楼觉得太热了又返回去了。",0.25,0.2381,0.2222,0.047619047619047616,7
