ID,sentence,REP,UNQ,DIV,EMO,ZT
1,曲径通幽处禅房花木深完全出乎意料的一家餐厅在升旗宾馆的一层门面不是很大也不是特别显眼。,0.45,0.141,0.5,0.30952380952380953,2
4,这么优越的地理位置地处繁华的前门在铁道博物馆的南侧。,0.33,0.141,0.5,0.3333333333333333,2
21,"位置就在广场旁边,这里接待旅行团的客人会比较多。",0.45,0.141,0.3333,0.0,2
22,"这里接待旅行团的客人会比较多,物美价廉经济实惠！",0.45,0.141,0.3333,0.16666666666666666,2
23,"离天安门很近,但是服务员素质很一般。",0.45,0.141,0.3333,0.23809523809523808,2
24,"北京天安荟餐厅,距离天安门广场地铁站很近。",0.3,0.2821,0.1667,0.16666666666666666,2
25,"天安荟餐厅,距离天安门广场、地铁站非常近出门就到了．",0.3,0.2821,0.1667,0.16666666666666666,2
28,"店里环境好,服务好,味道鲜美,离天安门、前门地铁口很近,是旅游居住的最佳选择。",0.4729,0.141,1.0,1.0,2
32,"地理位置很好里天安门进,饭店门口就是地铁站,才好吃,服务员热情洋溢．",0.49,0.1359,0.8333,0.8333333333333333,2
35,"环境好佷干净卫生,服务员很热情,离天安门近,出来就是很方便。",0.8714,0.1359,1.0,1.0,2
45,"餐厅位置便利,交通四通八达,便于到达,是朋友聚会的好去处。",0.38,0.141,0.6667,0.6666666666666666,2
60,"餐厅的位置非常显眼,容易找到,周围环境优美。",0.1636,0.2821,0.5,0.4999999999999999,2
70,"餐厅的地理位置佳,交通便利,周围配套设施齐全。",0.21,0.2821,0.5,0.4999999999999999,2
2,进去之后让人豁然开朗一楼大厅满眼的绿植仿佛置身于热带雨林天然氧吧的感觉。,0.45,0.0632,0.5,0.4999999999999999,3
3,大包间里面环境不错典型的中式风格。,0.3,0.0632,0.3333,0.3333333333333333,3
14,"环境优雅,菜品口味好,上菜速度快！服务态度好！推荐大家来吃．",0.7376,0.062,0.8333,0.8333333333333333,3
33,"环境很好,服务员很热情,炸酱面很好吃,比昨天前门大街里的好吃．",0.36,0.0614,0.6667,0.6666666666666666,3
34,"环境优美,看完升旗没走几步就吃到了美味又丰盛的早餐。",0.39,0.062,0.5,0.4999999999999999,3
39,"服务态度好,上菜速度快,整体环境干净整洁,让人感觉舒适。",0.6176,0.062,0.6667,0.6666666666666666,3
40,"餐厅装修风格独特,氛围温馨,适合情侣约会或家庭聚餐。",0.5,0.0632,0.6667,0.6666666666666666,3
43,"店内音乐轻柔,灯光恰到好处,营造出轻松愉悦的就餐氛围。",0.36,0.2529,0.5,0.4999999999999999,3
48,"店内清洁工作做得很好,餐具一尘不染,给人留下深刻印象。",0.45,0.1897,0.5,0.4999999999999999,3
50,"店内空间宽敞明亮,座位布局合理,没有拥挤感。",0.06,0.0632,0.5,0.4999999999999999,3
53,"店内装饰典雅,环境幽静,适合商务洽谈和私人聚会。",0.12,0.1897,0.6667,0.6666666666666666,3
55,"餐厅的卫生状况良好,厨房透明可见,让人吃得放心。",0.31,0.0632,0.5,0.4999999999999999,3
58,"店内音乐选择得当,音量适中,为用餐增添了不少乐趣。",0.4,0.3161,0.5,0.4999999999999999,3
62,"店内装潢现代时尚,灯光柔和,营造出舒适的用餐氛围。",0.8,0.2529,0.5,0.4999999999999999,3
65,"店内空间设计巧妙,布局合理,提供了充足的个人空间。",0.2667,0.1264,0.5,0.4999999999999999,3
68,"店内环境清新雅致,布置得很有品味,让人感觉放松。",0.5,0.3793,0.5,0.4999999999999999,3
72,"店内光线适宜,装饰品摆放得当,营造出温馨的用餐环境。",0.3667,0.1264,0.5,0.4999999999999999,3
75,"店内音乐节奏舒缓,音质清晰,为用餐增添了一份优雅。",0.25,0.5057,0.5,0.4999999999999999,3
78,"店内设计简约而不失格调,布局合理,空间利用率高。",0.3667,0.0632,0.5,0.4999999999999999,3
81,"店内气氛活跃,服务员笑容满面,让人感受到热情的招待。",0.45,0.3793,0.5,0.4999999999999999,3
84,"店内装饰充满艺术气息,灯光设计巧妙,营造出浪漫的氛围。",0.35,0.4425,0.5,0.4999999999999999,3
87,"店内音乐选择恰当,音量控制得宜,提升了用餐的舒适度。",0.25,0.1897,0.5,0.4999999999999999,3
90,"店内环境优雅,布置考究,让人仿佛置身于艺术画廊。",0.42,0.062,0.5,0.4999999999999999,3
93,"店内音乐悠扬悦耳,音量适中,为用餐增添了几分情调。",0.5,0.2529,0.5,0.4999999999999999,3
