ID,sentence,REP,UNQ,DIV,EMO,ZT
27,"「蒜蓉辣椒酱」灵魂蘸料,绝配,只是稍微有点咸。",0.5,0.7582,0.3333,0.4047619047619047,1
52,我自己点了166元当然是吃不掉的。一般烧肉打包带走了个人吃撑的话估计60-70吧,0.5,0.7582,0.3333,0.23809523809523808,1
63,"没到特意跑一趟来的程度,但路过会再试试看。",0.3333,0.7582,0.2222,0.23809523809523808,1
71,"他们家主要卖的就是烧味饭,一个烧味饭大概20来块钱,价格也算是比较合理吧。",0.5,0.7582,0.3333,0.16666666666666666,1
90,"可以一直吃的店~我喜欢的口味,清淡不油腻,还便宜。",0.5,0.7582,0.3333,0.4999999999999999,1
92,希望店家以后多开展团购优惠活动。,0.1667,0.7582,0.1111,0.16666666666666666,1
104,"挺受大家欢迎的是因为物美价廉,比较大众化,比较正宗的粤菜小馆。",0.0,0.7582,0.3333,0.4999999999999999,1
1,"就在红桥市场旁边,真的是苍蝇馆子。",0.3333,0.4146,0.2222,0.07142857142857142,2
28,"该店位于红桥珠宝店对面,交通便利,很好找。",0.5,0.8846,0.2222,0.3333333333333333,2
29,"周边公交车站很多,离天坛公园很近。",0.3333,0.4423,0.2222,0.3333333333333333,2
42,"位置：天坛东门这边,门口有好多收费停车场,随便停。",0.5,0.4423,0.3333,0.3333333333333333,2
54,"11点开门,趁早来,高峰时间人特别多．",0.0556,0.4423,0.3333,0.07142857142857142,2
57,"总想来店里打卡,但一直没有机会,这次正好来红桥开会,开会后走路就到了先金达餐厅。",0.1667,0.8846,0.1111,0.16666666666666666,2
84,"位置：逛完天坛公园,从东门出来,往北走到红桥珍珠市场,往右一转就是了。",0.1667,0.8291,0.1111,0.0,2
86,"在一个步行街的入口旁,挨着路边,招牌不大,人气挺高的。",0.3333,0.4423,0.4444,0.4047619047619047,2
87,"办公室附近的网红餐厅,中午吃饭时间需要拼桌等位,很多附近居民还有外地游客都会出现在这家餐厅。",0.1667,0.4423,0.2222,0.23809523809523808,2
93,"挨着天坛,红桥市场,天雅珠宝城,中午饭点人超级多,排大长队。",0.5,0.4423,0.3333,0.14285714285714285,2
102,"今天去吃饭的这家店是个网红店,地理位置特别好,在红桥市场的对面。",0.2222,0.8846,0.3333,0.3333333333333333,2
106,"在天雅珠宝城对面,很小的一个店,中午人很多,还好去的早,后面排队到门口了呢。",0.4444,0.4423,0.3333,0.23809523809523808,2
5,"环境:街边不起眼的小店,来了很多次。",0.2,0.3317,0.2222,0.23809523809523808,3
9,"之前来旁边的产业园喝咖啡看到过他家,很不起眼的店。",0.0333,0.6635,0.1111,0.07142857142857142,3
12,但是！他家环境真的很不好！特别特别吵。,0.3333,0.3317,0.2222,0.14285714285714285,3
13,"收拾盘子的阿姨很勤快,看不住可能秒没。",0.3333,0.3317,0.2222,0.23809523809523808,3
14,"看起来不起眼的小门脸,接送孩子都能经过的小店。",0.0333,0.3317,0.1111,0.07142857142857142,3
15,进去之后环境也是大排档那种感觉。,0.1667,0.3317,0.1111,0.07142857142857142,3
16,"店面挺大,客人非常多,老板和员工忙到飞起,就知道他家有多受欢迎了。",0.5,0.6635,0.4444,0.6666666666666666,3
